Data,Valor
2025-12-19,96.99
2025-12-19,144.95
2025-12-19,96.99
2025-12-19,144.95
2025-12-19,96.99
2025-12-19,144.95
2025-12-19,96.99
2025-12-19,144.95
2025-12-19,96.99
2025-12-20,144.95
2025-12-20,96.99
2025-12-20,144.95
2025-12-20,96.99
2025-12-20,144.95
2025-12-20,96.99
2025-12-21,144.95
2025-12-21,96.99
2025-12-21,144.95
2025-12-21,96.99
2025-12-21,144.95
2025-12-21,96.99
2025-12-22,144.95
2025-12-22,96.99
2025-12-22,144.95
2025-12-22,96.99
2025-12-22,144.95
2025-12-22,96.99
2025-12-22,144.95
2025-12-22,96.99
2025-12-23,144.95
2025-12-23,96.99
2025-12-23,144.95
2025-12-23,96.99
2025-12-23,144.95
